[2026-09-12 18:32:41] UPDATE product_id=148 model=EGE-113 keyword=78-m2-tek-katli-prefabrik-ev
[2026-09-12 18:32:41] UPDATE product_id=149 model=EGE-114 keyword=80-m-tek-katli-prefabrik-ev
[2026-09-12 18:32:41] UPDATE product_id=150 model=EGE-119 keyword=123-m-tek-katli-prefabrik-ev
[2026-09-12 18:32:41] UPDATE product_id=151 model=EGE-120 keyword=138-m2-tek-katli-prefabrik-ev
[2026-09-12 18:32:41] UPDATE product_id=152 model=EGE-121 keyword=142-m2-prefabrik-ev
[2026-09-12 18:32:41] UPDATE product_id=153 model=EGE-200 keyword=80-m2-dubleks-prefabrik-ev
[2026-09-12 18:32:41] UPDATE product_id=154 model=EGE-201 keyword=92-m2-dubleks-prefabrik-ev
[2026-09-12 18:32:41] UPDATE product_id=155 model=EGE-202 keyword=122-m2-dubleks-prefabrik-ev
[2026-09-12 18:32:41] UPDATE product_id=156 model=EGE-203 keyword=131-m2-dubleks-prefabrik-ev
[2026-09-12 18:32:41] UPDATE product_id=157 model=EGE-204 keyword=149-m2-dubleks-prefabrik-ev
[2026-09-12 18:32:41] UPDATE product_id=158 model=EGE-205 keyword=155-m2-dubleks-prefabrik-ev
[2026-09-12 18:32:41] RUN 20260912_183241_8c0bd1 END created=0 updated=27 skipped=0
